Month,Hour,Sunlit_Count,Total_Count,Percentage
11,16,76017,365133,20.82
11,17,0,365133,0.00
11,18,0,365133,0.00
11,19,0,365133,0.00
11,20,0,365133,0.00
11,21,0,365133,0.00
12,3,0,365133,0.00
12,4,0,365133,0.00
12,5,0,365133,0.00
12,6,0,365133,0.00
12,7,0,365133,0.00
12,8,100229,365133,27.45
12,9,121932,365133,33.39
12,10,135108,365133,37.00
12,11,147043,365133,40.27
12,12,163568,365133,44.80
12,13,183907,365133,50.37
12,14,187070,365133,51.23
12,15,103296,365133,28.29
12,16,0,365133,0.00
12,17,0,365133,0.00
12,18,0,365133,0.00
12,19,0,365133,0.00
12,20,0,365133,0.00
12,21,0,365133,0.00
